Nodes in input,Nodes in hidden,Epochs,Batch Size,Hidden Layers,Time,mse,accuracy
68,70,1000,128,2,1552537004,0.10490841601296191,0.8586849877364034
14,94,1000,48,1,1552537312,0.12069412262359007,0.8390579039379004
34,52,1000,32,4,1552537868,0.11991435559914321,0.8263002941723075
89,60,1000,32,4,1552538471,0.15664037400390496,0.79587831283107
27,10,1000,80,4,1552538711,0.11034600403053837,0.8410206136455479
23,8,1000,96,4,1552538913,0.11070541369201391,0.8577036307768218
44,48,1000,48,3,1552539303,0.12442651800482266,0.8400392609559753
34,100,1000,48,2,1552539706,0.12306102153948409,0.837095193411347
43,14,1000,32,2,1552540252,0.1179765484517877,0.8312070656922428
92,53,1000,112,2,1552540430,0.1269921691644063,0.8341511378578396
52,41,1000,64,1,1552540698,0.11318289846825295,0.8478900866840726
72,15,1000,16,1,1552541742,0.10871077963572372,0.8606476941099345
51,79,1000,96,3,1552542003,0.13076233201394255,0.8243375817739694
23,77,1000,48,2,1552542416,0.11287122626329193,0.8429833200775723
33,78,1000,16,4,1552543761,0.12733324853314035,0.8400392544047287
7,37,1000,112,1,1552543929,0.12210490273072278,0.8331697676787784
5,2,1000,80,1,1552544161,0.13797305065177023,0.8155053965710798
80,64,1000,96,4,1552544425,0.11613814921737069,0.8390578970356942
54,74,1000,32,4,1552545158,0.13468896819167095,0.8321884207800396
71,76,1000,32,1,1552545752,0.10583598282959557,0.8527968590229136
90,50,1000,96,4,1552546021,0.13294199035960863,0.8164867502550381
56,4,1000,16,2,1552547302,0.15522930729435985,0.8086359175077481
84,99,1000,96,3,1552547617,0.13963768550060449,0.8105986251096379
64,73,1000,64,4,1552548041,0.12338275897432707,0.8351324833527397
28,58,1000,48,4,1552548547,0.1355805265423828,0.8292443630622811
14,51,1000,96,1,1552548768,0.12330209566929155,0.8321884108946765
92,49,1000,32,4,1552549513,0.14522245119785537,0.8135426888522035
46,100,1000,96,3,1552549842,0.12786617170255246,0.8351324788487577
92,55,1000,64,3,1552550239,0.1368847993861471,0.8115799801389415
91,38,1000,32,2,1552550948,0.10764474502898994,0.857703630601342
87,97,1000,16,4,1552552597,0.12801226817064126,0.8194308148165096
92,68,1000,48,4,1552553160,0.1409681014702002,0.7821393523061825
30,24,1000,128,4,1552553368,0.1219013006489457,0.8380765480896909
40,39,1000,112,3,1552553613,0.11825841877306058,0.8341511378578396
90,48,1000,16,3,1552555189,0.12064443193778206,0.8321884199026406
76,15,1000,80,4,1552555532,0.11530744541761803,0.8380765500784623
60,28,1000,16,4,1552557224,0.12070342854133298,0.8400392541707556
81,90,1000,128,2,1552557465,0.11817146081685787,0.8351324824753407
83,57,1000,80,1,1552557770,0.10703169639287215,0.8527968618890839
89,47,1000,80,2,1552558103,0.1075328569694754,0.8547595720061844
26,83,1000,48,2,1552558659,0.13442106487940525,0.8155053945823085
29,73,1000,64,4,1552559159,0.1569003980895605,0.7939156039423283
85,72,1000,64,1,1552559552,0.12330173048116742,0.8380765441121484
16,6,1000,32,1,1552560336,0.11714781206594715,0.8429833171529086
71,60,1000,96,4,1552560682,0.1283513345299572,0.8292443537033575
66,89,1000,64,3,1552561180,0.1383758271816785,0.8086359159284298
7,69,1000,80,3,1552561575,0.15062871961411128,0.8037291435310955
96,15,1000,32,3,1552562462,0.15182613748855983,0.7929342500243969
46,88,1000,80,1,1552562794,0.12811789734031315,0.8292443582658328
100,72,1000,48,4,1552563441,0.13157917309270933,0.8321884200196271
4,97,1000,16,2,1552565153,0.1252128613036093,0.839057899784878
62,54,1000,112,3,1552565445,0.1346709916662421,0.8282629963928163
46,64,1000,80,3,1552565846,0.12976985780834802,0.8105986274493688
1,37,1000,32,4,1552566793,0.13478122491451663,0.8105986258700505
98,29,1000,96,4,1552567138,0.1250638878585312,0.8184494530019863
48,22,1000,112,4,1552567434,0.13642616613865835,0.8204121615397685
77,36,1000,128,1,1552567665,0.12524765449136466,0.8331697717148142
4,90,1000,80,3,1552568116,0.12816674333208325,0.8243375893780949
58,2,1000,48,3,1552568769,0.1647688030494675,0.791952897100851
61,28,1000,48,2,1552569400,0.11433586487007329,0.8508341532343152
30,82,1000,96,4,1552569821,0.1548659168001012,0.8086359196719992
